x y S
-910.0924046802385 -3036.0286297444723 97
-1397.9920202543394 -2669.140482009591 79
-859.5892662120583 2095.6881415962666 56
0.0 0.0 51
0.0 0.0 12
-1265.2171774968735 784.2745466861569 93
0.0 0.0 84
-1858.4256177227762 1755.5271733233656 24
-1329.917875781194 713.6572164059621 81
0.0 0.0 40
-1227.1141879586967 721.8095708402432 8
-1009.2046855357664 696.9015151668254 97
-989.2123915013888 232.22140099809238 98
-963.1408333485069 -22.033387369171432 68
0.0 0.0 77
0.0 0.0 10
0.0 0.0 34
-1020.8304998240558 -20.501054246754187 30
0.0 0.0 98
0.0 0.0 49
0.0 0.0 97
-1689.1481691240447 -16.187384485477775 98
-1781.5281330073626 787.1395680230382 47
-1647.3619222910402 746.5702920301981 91
0.0 0.0 30
-1741.0406440669096 31.12269585529294 84
0.0 0.0 40
-1503.271846473038 -8.858371500995062 82
-1121.7160201529027 -45.50449184252027 86
-967.6256614455256 -47.995949670023236 57
-999.8761615883824 -85.22300344547467 59
-1036.5736581569663 -433.8531135258551 64
-965.7399092587755 -527.1783771412721 63
-1019.4394283796653 -630.5841960486437 23
-1757.5681064028902 -808.3029160839171 53
0.0 0.0 96
0.0 0.0 25
-1224.042858261603 -45.75328570070027 73
-1379.6491802720298 -14.36512981716754 44
0.0 0.0 8
-986.012853818365 -702.7623391545086 36
-1745.3323158848839 5.534854285579637 73
0.0 0.0 24
-1765.6968651485454 -660.9203483897821 93
-1787.9943077369128 -711.3849403703152 36
-1630.6380710769276 -814.4756502786021 86
-1280.9264668434707 -816.3923842550786 26
-979.7869516373062 -785.0665134660528 98
-1703.641719877292 -883.1060879675152 81
0.0 0.0 68
0.0 0.0 58
-1662.3608012096686 -866.2422917323537 29
-1847.6937697020508 -1666.8620488169072 45
-1647.2425422493277 -1783.1290056950306 10
-1273.960810298545 -2134.07271363917 69
-1411.6859922620458 -2503.031559773347 49
0.0 0.0 78
-2181.2424543268226 -2656.117562659328 12
-1408.4198411871596 -2506.360768934305 79
0.0 0.0 11
-2093.252329824825 -2707.3854188306955 3
-1376.8547312753442 -2550.434572369282 41
-1413.4020577660317 -2663.6316278958893 70
-1874.6986046796012 886.3131246369787 36
0.0 0.0 80
0.0 0.0 1
0.0 0.0 31
0.0 0.0 90
-2420.8098453984217 984.77172904466 74
-2186.795746023051 876.0238746388158 73
-1740.9706567322728 231.45373717419255 50
-1768.4921267245547 82.53613972081061 4
-2598.3095617410963 117.54639117231413 41
0.0 0.0 26
-1960.3381576761046 94.71280676445795 40
-2249.1049133041474 456.9033873244536 11
-1874.8295832608765 708.6109084203625 54
-1888.483879283316 824.932057486453 6
-2424.1044740696084 477.3336543410277 70
-2315.272904051276 551.4744538657752 37
-2184.586362429454 381.68285358050935 86
0.0 0.0 99
-1795.7012209155075 57.15622511756442 11
0.0 0.0 65
-2322.1910109095984 -193.52503690222036 7
-2227.118992921113 -103.6584648229283 22
-2123.196468962182 -183.85801284931597 99
-2102.618303053866 -58.099892638780005 37
-1799.5621027730494 -12.494680980075707 31
-1736.0164467793422 -179.73306061910853 44
-1772.9059854980073 -174.44933868181613 3
-1842.424077308887 -656.1944348265379 71
