x y S
0.0 0.0 93
0.0 0.0 57
0.0 0.0 92
0.0 0.0 9
0.0 0.0 42
0.0 0.0 19
0.0 0.0 85
0.0 0.0 71
-1888.8723682271316 -94.92205342526451 80
-2150.229930971307 -254.07269689304132 16
-2604.0790910256173 -868.5211960371826 45
-2569.508636661207 -59.16002196291987 33
-2608.7395174490507 -741.0637287259976 98
-2564.4027585732747 -932.6869682849355 21
-2175.3153873826113 -793.7642443002471 2
-1819.3567819175312 -840.940972543989 10
0.0 0.0 37
0.0 0.0 1
0.0 0.0 74
-2726.900801552414 -1581.387935132295 7
-2681.886830273885 -1580.821959367614 4
-2242.527975683132 -2359.273194324124 6
-2176.324094207407 -2700.0250821942795 60
0.0 0.0 11
-2248.832087657976 -2624.0582064830537 31
-3066.801438263186 -2288.0651430713087 97
0.0 0.0 59
-2155.550510753915 -2720.007500474888 90
-2714.318048040575 1259.49786555481 80
-2698.0709370853738 1098.3561437485469 95
0.0 0.0 75
0.0 0.0 79
-3614.72971722672 942.136770387939 89
-3566.2461795848194 772.4169375793047 38
-2924.142334535396 900.2716942678961 33
-2589.918669210141 442.25636754940336 48
-2601.563536041516 567.9777503673484 37
0.0 0.0 67
0.0 0.0 78
-3063.5406119727186 308.6574682175114 27
-3271.217656876284 505.525112956646 49
0.0 0.0 34
-3219.668486683739 878.9777593273775 70
-3387.241104241722 205.05886892747603 38
-2667.3585492292973 21.860007012896013 53
0.0 0.0 22
-3425.6559460237613 127.66314417237875 41
-3231.5937073439 -215.06860118844875 40
0.0 0.0 38
-2591.9270485340803 -478.3603948037163 94
0.0 0.0 35
0.0 0.0 65
0.0 0.0 42
0.0 0.0 36
0.0 0.0 51
0.0 0.0 90
0.0 0.0 11
0.0 0.0 28
-2642.972594008719 -739.7535827612265 77
-2604.109636562029 -663.8120426676135 27
-2594.090026337083 -126.08836899559769 51
-3075.2282494483875 -214.0882287417267 20
-3388.6973089781477 -733.837346338612 91
-2665.9367442951484 -885.8037737980587 43
-3416.7007455481407 -712.688147032918 81
-3375.8431451546962 -794.0413176962699 49
-3215.6356531340675 -818.209307151968 42
-2907.3615204209414 -894.3621858660952 20
-2838.4382449104173 -884.6358785750306 8
-2617.320299101178 -922.8620380563596 33
-2655.290451891858 -1026.741556434494 88
-3516.377220515455 -1119.1981258937506 50
-3443.1297626501932 -762.0549088626487 56
-3616.7778315347596 -1224.4979385942045 46
-3280.1908459767624 -888.7657653247023 79
0.0 0.0 56
-3120.193645814776 -2361.499002925618 50
-3024.1671839587443 -2275.328959443159 91
0.0 0.0 30
0.0 0.0 32
-3684.142991786466 724.8669773984457 79
-3516.6008558448298 639.8175822410846 3
-3434.8384193747006 400.6687837908741 50
-3453.2775083112742 190.2137989637169 63
-3520.331137126157 169.88075796257462 83
-3410.600571723759 316.26849073734104 57
-3597.9280246570183 245.38538929349724 45
-3604.1569172927348 67.1700581734378 2
-3420.6089649635237 111.97981386843497 28
-3476.535000506897 -567.3478453702977 52
-3654.202339821773 -576.9984125446049 48
-3494.7575537265175 -685.7405678140244 13
-3635.23647551734 -756.5583307209275 97
-3488.7804847808966 -729.6182348284588 92
